,0,1,2,3,4,5
0,২৮-০৬-২০২০,০৭:০০:০০,953,1000,82,137
1,২৮-০৬-২০২০,০৬:০০:০০,953,1000,102,140
2,২৮-০৬-২০২০,০৩:০০:০০,953,1000,118,148
3,২৮-০৬-২০২০,০৫:০০:০০,953,1000,102,142
4,২৮-০৬-২০২০,০৪:০০:০০,953,1000,116,148
5,২৮-০৬-২০২০,০২:০০:০০,953,1000,120,153
6,২৮-০৬-২০২০,০১:০০:০০,953,1000,122,155
7,২৭-০৬-২০২০,২৪:০০:০০,943,1000,126,165
8,২৭-০৬-২০২০,২৩:০০:০০,943,1000,128,171
9,২৭-০৬-২০২০,২২:০০:০০,947,1000,132,172
10,২৭-০৬-২০২০,২১:০০:০০,952,1000,132,167
11,২৭-০৬-২০২০,২০:০০:০০,952,1000,128,173
12,২৭-০৬-২০২০,১৯:৩০:০০,952,1000,128,168
13,২৭-০৬-২০২০,১৯:০০:০০,952,1000,116,168
14,২৭-০৬-২০২০,১৮:০০:০০,952,1000,100,167
15,২৭-০৬-২০২০,১৭:০০:০০,952,1000,88,164
16,২৭-০৬-২০২০,১৬:০০:০০,952,1000,90,165
17,২৭-০৬-২০২০,১৫:০০:০০,952,1000,80,163
18,২৭-০৬-২০২০,১৪:০০:০০,952,1000,98,162
19,২৭-০৬-২০২০,১৩:০০:০০,952,1000,92,162
20,২৭-০৬-২০২০,১২:০০:০০,952,1000,102,161
21,২৭-০৬-২০২০,১১:০০:০০,952,1000,100,153
22,২৭-০৬-২০২০,১০:০০:০০,952,1000,88,145
23,২৭-০৬-২০২০,০৯:০০:০০,952,1000,94,144
24,২৭-০৬-২০২০,০৮:০০:০০,952,1000,112,143
25,২৭-০৬-২০২০,০৭:০০:০০,952,1000,108,137
26,২৭-০৬-২০২০,০৬:০০:০০,952,1000,114,137
27,২৭-০৬-২০২০,০৫:০০:০০,952,1000,130,140
28,২৭-০৬-২০২০,০৪:০০:০০,952,1000,134,134
29,২৭-০৬-২০২০,০৩:০০:০০,944,1000,138,146
30,২৭-০৬-২০২০,০২:০০:০০,944,1000,138,148
31,২৭-০৬-২০২০,০১:০০:০০,953,1000,140,153
32,২৬-০৬-২০২০,২৪:০০:০০,953,1000,146,155
33,২৬-০৬-২০২০,২৩:০০:০০,953,1000,150,165
34,২৬-০৬-২০২০,২২:০০:০০,953,1000,148,171
35,২৬-০৬-২০২০,২১:০০:০০,948,1000,148,170
36,২৬-০৬-২০২০,২০:০০:০০,948,1000,144,166
37,২৬-০৬-২০২০,১৯:৩০:০০,948,1000,140,172
